character,section,move,startup,total_frames,landing_lag,notes,damage,shield_lag,shield_stun,hitbox_type,advantage_on_shield,active_frames,end_lag
Pichu,Ground Attacks,Jab,2,16,--,Transitions to next Jab as early as frame 7.,1.2,4,3,--,-11,2—3,13
Pichu,Ground Attacks,Forward Tilt,5,24,--,1.2 base recoil damage,8.0,11,8,--,-11,5—12,12
Pichu,Ground Attacks,Up Tilt,7,23,--,--,5.0,6,6,--,-10,7—14,9
Pichu,Ground Attacks,Down Tilt,7,18,--,--,6.0,6,7,--,-4,7—8,10
Pichu,Ground Attacks,Dash Attack,6,34,--,--,8.0/6.0,7/6,8/7,Early/Late,-20,6—9/10—15,19
Pichu,Ground Attacks,Forward Smash,16/19/22/25/28/31,53,--,Charge hold is frame 13. 2.4 base recoil damage,2.0/8.0,7/11,-/6,Multi/Final,-16,16—18/19—21/22—24/25—27/28—30/31—33,20
Pichu,Ground Attacks,Up Smash,9,40,--,Ear intangibility on frame 9-11. Charge hold is frame 4.,14.0,10,10,--,-21,9—11,29
Pichu,Ground Attacks,Down Smash,8/11/15/19/23,50,--,Invulnerable on frame 7-10. Charge hold is frame 4. 1.5 base recoil damage,1.5/8.0,7/11,2/6,Multi/Final,-21,8—9/11—12/15—16/19—20/23—24,26
Pichu,Ground Attacks,Neutral Air,3,39,7,Autocancels on frame 1-2 and 35 onward. Ear intangibility on frames 3-9.,7.0/5.0,7/6,3/3,Early/Late,-4/-4,3—9/10—27,12
Pichu,Ground Attacks,Forward Air,10/14/18/22,39,12,Autocancels on frame 1-9 and 34 onward. 1.8 base recoil damage,3.5/3.5,8/8,2/2,Multi/Final,-10/-10,10—12/14—16/18—20/22—23,16
Pichu,Ground Attacks,Back Air,5/11/15/19/26/30,54,18,Autocancels on frame 1-4 and 38 onward. 1.8 base recoil damage,2.0/2.5,7/7,2/2,Multi/Final,-16/-16,5—6/11—12/15—16/19—20/26—27/30—31,23
Pichu,Ground Attacks,Up Air,4,26,11,Autocancels on frame 1-3 and 18 onward,4.0,5,3,--,-8,4—9,17
Pichu,Ground Attacks,Down Air,14,47,22,Ear intangibility on frame 14-17. Landing hit on frame 1. Autocancels on frame 32 onward. Recoil damage is 1.8 when hitbox comes out and 0.5 on landing,13.0/12.0/4.0,14/13/8,5/5/5,Early/Late/Landing,-16,14—17/18—26/1—2,21
Pichu,Ground Attacks,Neutral B (Thunderjolt),18,51,--,"0.8 base recoil damage. Grounded has a life of 84 frames, aerial 100.",10.0/7.0—5.0,12/10—9,4/3—3,Projectile/Arc,-29/-30,18—47/48—77/78—101,--
Pichu,Ground Attacks,Side B (Skull Bash),17,96/86,--,25 on hit endlag. Second total frames is from the air. Startup is 5 from charge release. 2.1 base recoil damage.,4.0—33.0,8—18,5—28,--,-20 to +3,17—52 (4—39 on charge release),44
Pichu,Ground Attacks,Up B (Agility),**,53/70,24,"Total frames is for one/two dashes ending on the ground. 0.9 base recoil damage on first dash, and 1.4 on second. Can grab ledges as early as frame 14.",--,--,--,--,--,(No Hitbox),--
Pichu,Ground Attacks,Down B (Thunder),9,86/66,--,First total frames is if the bolt misses. Invulnerable on frame 26-35 if bolt hits and incurs 4.2 base recoil damage,6.0/4.0/14.0,8/15,2/13,Spike/Late Bolt/Self-Hit,-27,Bolt 1: 9-11/12-67 | Bolt 2: 16—18/19—74,12
Pichu,Ground Attacks,Grab,6,31,--,--,--,,,,,6—7,24
Pichu,Ground Attacks,Dash Grab,8,39,--,--,--,,,,,8—9,30
Pichu,Ground Attacks,Pivot Grab,9,36,--,--,--,,,,,9—10,26
Pichu,Ground Attacks,Pummel,1,18,--,0.1 base recoil damage. Total frames includes 13 frames of hitlag,1.4,,,,,,
Pichu,Ground Attacks,Forward Throw,11/15/19/23/27,43,--,0.5 base recoil damage,1.5/6.0,,,,,,
Pichu,Ground Attacks,Backward Throw,26,49,--,--,9.0,,,,,,
Pichu,Ground Attacks,Up Throw,14/15,35,--,--,5.0/5.0,,,,,,
Pichu,Ground Attacks,Down Throw,14/19,39,--,--,4.0/4.0,,,,,,
Pichu,Ground Attacks,Spot Dodge,,19/24,--,Intangible on frame 3-16,,,,,,,
Pichu,Ground Attacks,Forward Roll,,28,--,Intangible on frame 4-14,,,,,,,
Pichu,Ground Attacks,Backward Roll,,33,--,Intangible on frame 4-15,,,,,,,
Pichu,Ground Attacks,Neutral Air Dodge,,42,10,Intangible on frame 2-26,,,,,,,
Pichu,Ground Attacks,"Air Dodge, Down",,60,11-19,Intangible on frame 2-19,,,,,,,
Pichu,Ground Attacks,"Air Dodge, Diagonally Down",,65,11-19,Intangible on frame 2-19,,,,,,,
Pichu,Ground Attacks,"Air Dodge, Left/Right",,70,11-19,Intangible on frame 2-19,,,,,,,
Pichu,Ground Attacks,"Air Dodge, Diagonally Up",,80,11-19,Intangible on frame 2-19,,,,,,,
Pichu,Ground Attacks,"Air Dodge, Up",,88,11-19,Intangible on frame 2-19,,,,,,,
Pichu,Ground Attacks,Stats,,,,,,,,,,,
Pichu,Ground Attacks,Ledge Grab,,,,,,,,,,,
Pichu,Ground Attacks,Ledge Hang,,,,,,,,,,,
Pichu,Ground Attacks,Ledge Roll,,,,,,,,,,,
Pichu,Ground Attacks,Getup Attacks,,,,,,,,,,,
Pichu,Aerial Attacks,Neutral Air,3,39,7,Autocancels on frame 1-2 and 35 onward. Ear intangibility on frames 3-9.,7.0/5.0,7/6,3/3,Early/Late,-4/-4,3—9/10—27,12
Pichu,Aerial Attacks,Forward Air,10/14/18/22,39,12,Autocancels on frame 1-9 and 34 onward. 1.8 base recoil damage,3.5/3.5,8/8,2/2,Multi/Final,-10/-10,10—12/14—16/18—20/22—23,16
Pichu,Aerial Attacks,Back Air,5/11/15/19/26/30,54,18,Autocancels on frame 1-4 and 38 onward. 1.8 base recoil damage,2.0/2.5,7/7,2/2,Multi/Final,-16/-16,5—6/11—12/15—16/19—20/26—27/30—31,23
Pichu,Aerial Attacks,Up Air,4,26,11,Autocancels on frame 1-3 and 18 onward,4.0,5,3,--,-8,4—9,17
Pichu,Aerial Attacks,Down Air,14,47,22,Ear intangibility on frame 14-17. Landing hit on frame 1. Autocancels on frame 32 onward. Recoil damage is 1.8 when hitbox comes out and 0.5 on landing,13.0/12.0/4.0,14/13/8,5/5/5,Early/Late/Landing,-16,14—17/18—26/1—2,21
Pichu,Aerial Attacks,Neutral B (Thunderjolt),18,51,--,"0.8 base recoil damage. Grounded has a life of 84 frames, aerial 100.",10.0/7.0—5.0,12/10—9,4/3—3,Projectile/Arc,-29/-30,18—47/48—77/78—101,--
Pichu,Aerial Attacks,Side B (Skull Bash),17,96/86,--,25 on hit endlag. Second total frames is from the air. Startup is 5 from charge release. 2.1 base recoil damage.,4.0—33.0,8—18,5—28,--,-20 to +3,17—52 (4—39 on charge release),44
