character,section,move,startup,total_frames,landing_lag,damage,advantage_on_shield,active_frames,notes,shield_lag,shield_stun,hitbox_type,end_lag,misc_raw,oos_options
Bowser,Ground Attacks,Jab 1,7,25,--,4.0,-13,7—8,Transitions to Jab 2 as early as frame 10. Arm intangibility on frame 7-8,8,5,--,17,,
Bowser,Ground Attacks,Jab 2,9,25,--,7.0,-9,9—11,Arm intangibility on frame 9-11,12,7,--,14,,
Bowser,Ground Attacks,Forward Tilt,10,37,--,13.0,-15,10—14,Damage based heavy armor (4%) on frame 7-9. Arm intangibility on frame 10-14,9,12,--,23,,
Bowser,Ground Attacks,Up Tilt,11,40,--,11.0,-19,11—16,Damage based heavy armor (4%) on frame 8-10. Arm intangibility on frame 11-16,8,10,--,24,,
Bowser,Ground Attacks,Down Tilt,10/15,45,--,7.0/8.0,-22,10—12/15—17,Damage based heavy armor (4%) on frame 7-9. Arm intangibility on frame 10-12 and 15-17,7/7,-/8,--,28,,
Bowser,Ground Attacks,Dash Attack,11,55,--,12.0/10.0,-33,11—14/15—20,--,9/8,11/10,Early/Late,35,,
Bowser,Ground Attacks,Forward Smash,22,69,--,(23.0%/20.0%)/(17.0%/14.0%),-32,22—23(24—27),Damage based heavy armor (10%) frame 17-19. Leg Invincible 20-25. Charge hold frame 3,14,15,(Clean/Late both split Far/Close),42,,
Bowser,Ground Attacks,Up Smash,16/37,57,--,22.0/16.0/12.0,-27/-30/-12,16—23/37,Damage based heavy armor (8%) frame 11-13 and 28-31. Invincible 14-27. Charge hold frame 9,13/10/9,14/11/8,Sweet/sour/landing hit,20,,
Bowser,Ground Attacks,Down Smash,12/28,72,--,16.0/15.0,-49/-34,12—14/28—30,Damage based heavy armor (8%) frame 5-11. Charge hold is frame 4,10/10,11/10,--,42,,
Bowser,Ground Attacks,Neutral Air,8/14/18/**,47,15,6.0,-12,8—29/14—29/18—29/18—29,Autocancels on frame 1-3 and 41 onward,6,3,--,18,,
Bowser,Ground Attacks,Forward Air,11,41,14,13.0%/12.0%/11.0%,-9/-10,11—14,Autocancels on frame 1-3 and 31 onward,9/8,5/4,(Far/Mid/Close),27,,
Bowser,Ground Attacks,Back Air,9,44,24,19.0,-17,9—11,Autocancels on frame 1-2 and 31 onward,12,7,--,33,,
Bowser,Ground Attacks,Up Air,9,44,17,15.0,-12,9—13,Head intangibility on frame 3-13. Autocancels on frame 1-2 and 40 onward,10,5,--,31,,
Bowser,Ground Attacks,Down Air,17,77,34,16.0/**/2.0,-30,17—24/25—49/1—6,Landing hit on frame 1. Autocancels on frame 1-13 and 70 onward. Leg/Arm/Head intangible from frames 14—60.,10/4,6/3,Normal/late/landing,28,,
Bowser,Ground Attacks,Neutral B (Fire Breath),23/30/37/44...,77,--,1.8,--,23/30/37/44...,Total frames is minimum usage. Endlag is 31 frames on release.,4,2,--,33,,
Bowser,Ground Attacks,Side B (Flying Slam),6,52,--,--,--,6,"40 frames endlag after a slam, but can be cancelled by landing on a platform. 23 frames of invulnerability after a successful grab. Whether Bowser or his opponent has more control over the direction of the slam is determined by whoever has less damage.",--,--,--,46,,
Bowser,Ground Attacks,Up B (Whirling Fortress),6...,81,18,1.0/6.0,-36,6—38/39 (rehit: 5),--,4/6,2/6,Multi/Final,42,,
Bowser,Ground Attacks,"Up B, Air (Whirling Fortress, Air)",6...,--,36,7.0/1.0/2.0,--,6—7/8—11/12—15/16—19/20—23/24—27/28—31/32—35/36—39/40—43/44—47/48—51 (rehit: 5),Mash special button for more height,7/3/6,-/2/3,First/multi/final,--,,
Bowser,Ground Attacks,Down B (Bowser Bomb),11/37.../1,66,--,4.0/20.0/11.0,--,11/37.../1—2,Landing hit on frame 1.,5/12/8,5/18/-,Rise/fall/landing,29,,
Bowser,Ground Attacks,"Down B, Air (Bowser Bomb, Air)",31.../1,--,55,20.0/11.0,--,31.../1—2,Landing hit on frame 1.,12/8,18/-,Fall/landing,--,,
Bowser,Ground Attacks,Grab,8,40,--,--,,8—10,--,,,,30,,
Bowser,Ground Attacks,Dash Grab,11,48,--,--,,11—13,--,,,,35,,
Bowser,Ground Attacks,Pivot Grab,12,43,--,--,,12—14,--,,,,29,,
Bowser,Ground Attacks,Pummel,2,21,--,1.6,,,Total frames include 14 frames of hitlag,,,,,,
Bowser,Ground Attacks,Forward Throw,36,58,--,12.0,,,--,,,,,,
Bowser,Ground Attacks,Backward Throw,19,38,--,12.0,,,--,,,,,,
Bowser,Ground Attacks,Up Throw,21/25/29/33/37/41/45/49/57,74,--,0.5/2.0/6.0,,,--,,,,,,
Bowser,Ground Attacks,Down Throw,35/37,84,--,10.0/4.0,,,--,,,,,,
Bowser,Ground Attacks,Spot Dodge,,23/28,--,,,,Intangible on frame 3-18,,,,,,
Bowser,Ground Attacks,Forward Roll,,32,--,,,,Intangible on frame 4-16,,,,,,
Bowser,Ground Attacks,Backward Roll,,37,--,,,,Intangible on frame 5-17,,,,,,
Bowser,Ground Attacks,Neutral Air Dodge,,46,10,,,,Intangible on frame 4-32,,,,,,
Bowser,Ground Attacks,"Air Dodge, Down",,63,11-19,,,,Intangible on frame 4-22,,,,,,
Bowser,Ground Attacks,"Air Dodge, Diagonally Down",,67,11-19,,,,Intangible on frame 4-22,,,,,,
Bowser,Ground Attacks,"Air Dodge, Left/Right",,75,11-19,,,,Intangible on frame 4-22,,,,,,
Bowser,Ground Attacks,"Air Dodge, Diagonally Up",,88,11-19,,,,Intangible on frame 4-22,,,,,,
Bowser,Ground Attacks,"Air Dodge, Up",,95,11-19,,,,Intangible on frame 4-22,,,,,,
Bowser,Ground Attacks,Stats,,,,,,,,,,,,,
Bowser,Ground Attacks,Ledge Grab,,,,,,,,,,,,,
Bowser,Ground Attacks,Ledge Hang,,,,,,,,,,,,,
Bowser,Ground Attacks,Ledge Roll,,,,,,,,,,,,,
Bowser,Ground Attacks,Getup Attacks,,,,,,,,,,,,,
Bowser,Aerial Attacks,Neutral Air,8/14/18/**,47,15,6.0,-12,8—29/14—29/18—29/18—29,Autocancels on frame 1-3 and 41 onward,6,3,--,18,,
Bowser,Aerial Attacks,Forward Air,11,41,14,13.0%/12.0%/11.0%,-9/-10,11—14,Autocancels on frame 1-3 and 31 onward,9/8,5/4,(Far/Mid/Close),27,,
Bowser,Aerial Attacks,Back Air,9,44,24,19.0,-17,9—11,Autocancels on frame 1-2 and 31 onward,12,7,--,33,,
Bowser,Aerial Attacks,Up Air,9,44,17,15.0,-12,9—13,Head intangibility on frame 3-13. Autocancels on frame 1-2 and 40 onward,10,5,--,31,,
Bowser,Aerial Attacks,Down Air,17,77,34,16.0/**/2.0,-30,17—24/25—49/1—6,Landing hit on frame 1. Autocancels on frame 1-13 and 70 onward. Leg/Arm/Head intangible from frames 14—60.,10/4,6/3,Normal/late/landing,28,,
Bowser,Aerial Attacks,Neutral B (Fire Breath),23/30/37/44...,77,--,1.8,--,23/30/37/44...,Total frames is minimum usage. Endlag is 31 frames on release.,4,2,--,33,,
Bowser,Aerial Attacks,Side B (Flying Slam),6,52,--,--,--,6,"40 frames endlag after a slam, but can be cancelled by landing on a platform. 23 frames of invulnerability after a successful grab. Whether Bowser or his opponent has more control over the direction of the slam is determined by whoever has less damage.",--,--,--,46,,
Bowser,Aerial Attacks,Up B (Whirling Fortress),6...,81,18,1.0/6.0,-36,6—38/39 (rehit: 5),--,4/6,2/6,Multi/Final,42,,
Bowser,Aerial Attacks,"Up B, Air (Whirling Fortress, Air)",6...,--,36,7.0/1.0/2.0,--,6—7/8—11/12—15/16—19/20—23/24—27/28—31/32—35/36—39/40—43/44—47/48—51 (rehit: 5),Mash special button for more height,7/3/6,-/2/3,First/multi/final,--,,
Bowser,Aerial Attacks,Down B (Bowser Bomb),11/37.../1,66,--,4.0/20.0/11.0,--,11/37.../1—2,Landing hit on frame 1.,5/12/8,5/18/-,Rise/fall/landing,29,,
Bowser,Aerial Attacks,"Down B, Air (Bowser Bomb, Air)",31.../1,--,55,20.0/11.0,--,31.../1—2,Landing hit on frame 1.,12/8,18/-,Fall/landing,--,,
Bowser,Aerial Attacks,Grab,8,40,--,--,,8—10,--,,,,30,,
Bowser,Aerial Attacks,Dash Grab,11,48,--,--,,11—13,--,,,,35,,
Bowser,Aerial Attacks,Pivot Grab,12,43,--,--,,12—14,--,,,,29,,
Bowser,Aerial Attacks,Pummel,2,21,--,1.6,,,Total frames include 14 frames of hitlag,,,,,,
